SampleID,class,3-Hydroxybutyrate,3-Hydroxyisobutyrate,4-Hydroxybenzoate,ADP,AMP,ATP,Acetate,Alanine,Aspartate,Benzoate,Betaine,Cadaverine,Carnitine,Cholate,Choline,Creatine,Dimethylamine,Formate,Fumarate,Glucose,Glutamate,Glutamine,Glutathione,Glycerol,Glycine,Histidine,IMP,Inosine,Isoleucine,Lactate,Leucine,Lysine,Malate,Malonate,Methionine,NAD+,NADP+,Niacinamide,O-Acetylcarnitine,O-Phosphocholine,Ornithine,Oxypurinol,Phenylalanine,Pyruvate,Sarcosine,Succinate,Taurine,Trimethylamine,Tryptophan,Tyrosine,UDP-N-Acetylglucosamine,UDP-galactose,UDP-glucose,UMP,Uracil,Urea,Uridine,Valine,Xanthosine
1--3,Group_A,0.000193056,0.0000375,2.92E-05,0.000275,0.001168056,0.0002875,0.001023611,0.004472222,0.000190278,1.94E-05,0.002727778,5.14E-05,0.000636111,0.000354167,0.000238889,0.0017875,0.000316667,5.56E-05,0.000129167,0.036425,0.000572222,0.000577778,0.0023375,0.000536111,0.001540278,0.000243056,0.000679167,0.000816667,0.000191667,0.026294444,0.000393056,0.000229167,0.000288889,0.000116667,8.61E-05,0.000075,4.86E-05,0.000822222,3.33E-05,0.002016667,6.94E-05,0.002204167,9.31E-05,0.000147222,9.86E-05,3.19E-05,0.013091667,1.39E-05,0.00005,0.000158333,0.000198611,0.000104167,0.0001375,0.0002625,2.78E-05,0.009566667,0.0004875,0.000340278,1.11E-05
1--4,Group_A,0.00029186,3.72E-05,2.44E-05,0.000196512,0.00115814,0.000226744,0.001416279,0.00422907,0.000295349,0.000101163,0.002265116,7.67E-05,0.000510465,0.00015,0.000272093,0.000326744,0.00022907,4.65E-05,0.000123256,0.029748837,0.000498837,0.000656977,0.002256977,0.000369767,0.001386047,0.000266279,0.0002,0.000745349,0.000163953,0.019559302,0.000317442,0.00020814,0.000437209,9.77E-05,9.88E-05,9.07E-05,5.12E-05,0.000674419,3.49E-05,0.001554651,0.000110465,0.002381395,7.79E-05,1.74E-05,0.000119767,3.26E-05,0.010568605,3.37E-05,3.26E-05,0.000130233,0.000180233,0.000110465,0.000103488,0.00022093,2.21E-05,0.015888372,0.000402326,0.00030814,1.63E-05
1--5,Group_A,0.000313889,3.06E-05,2.78E-05,0.0002375,0.001276389,0.000234722,0.0009125,0.004566667,0.000261111,8.33E-06,0.002429167,7.78E-05,0.000513889,0.000516667,0.000316667,0.000538889,0.000233333,3.61E-05,9.86E-05,0.026294444,0.000651389,0.000705556,0.001720833,0.000368056,0.001594444,0.000331944,0.000373611,0.000706944,0.000186111,0.019552778,0.000393056,0.000266667,0.000255556,7.22E-05,6.81E-05,0.000106944,6.94E-05,0.000713889,5.14E-05,0.001347222,0.000122222,0.002479167,8.06E-05,0.000102778,9.17E-05,2.22E-05,0.011597222,2.08E-05,4.31E-05,0.000131944,0.000198611,0.000119444,0.000227778,0.000213889,2.92E-05,0.010754167,0.000254167,0.000351389,1.67E-05
1--6,Group_A,0.000154054,3.92E-05,2.70E-05,0.000254054,0.001131081,0.000201351,0.000604054,0.003421622,0.000262162,9.46E-06,0.00087973,3.11E-05,0.000374324,0.000209459,0.000243243,0.000887838,0.000172973,1.89E-05,0.000102703,0.032101351,0.000340541,0.000864865,0.001772973,0.000374324,0.001440541,0.000204054,0.000389189,0.000418919,0.000122973,0.020164865,0.000344595,0.000132432,0.000310811,4.73E-05,5.54E-05,0.000110811,4.86E-05,0.000495946,3.51E-05,0.001205405,0.00012027,0.001616216,6.22E-05,0.000217568,8.11E-05,2.43E-05,0.00682973,1.35E-05,2.16E-05,0.000113514,0.000174324,0.000128378,0.000187838,0.000266216,1.22E-05,0.008413514,0.000359459,0.00025,2.16E-05
1--7,Group_A,0.000219178,3.84E-05,3.01E-05,0.000258904,0.001630137,0.000242466,0.000652055,0.003335616,0.000286301,1.37E-05,0.001182192,8.36E-05,0.000369863,0.000175342,0.000472603,0.000610959,0.00020274,1.78E-05,0.00010137,0.045075342,0.000430137,0.001369863,0.002382192,0.000521918,0.001612329,0.000293151,0.000452055,0.00050137,0.000187671,0.019310959,0.000423288,0.000175342,0.000231507,6.99E-05,7.67E-05,0.000149315,7.40E-05,0.000647945,4.38E-05,0.001686301,0.000163014,0.003964384,0.00010137,9.59E-06,8.08E-05,2.88E-05,0.007569863,1.23E-05,4.52E-05,0.000182192,0.000145205,0.000163014,0.000165753,0.000379452,9.59E-06,0.009328767,0.000483562,0.000339726,2.33E-05
1--8,Group_A,0.000246809,3.51E-05,2.02E-05,0.000224468,0.001635106,0.000356383,0.000544681,0.002868085,0.000329787,5.43E-05,0.001106383,3.83E-05,0.0004,0.000335106,0.000404255,0.00036383,9.47E-05,1.06E-06,0.000126596,0.032434043,0.000518085,0.001196809,0.001667021,0.000687234,0.001978723,0.000243617,0.000284043,0.000524468,0.00016383,0.016275532,0.000454255,0.000173404,0.000492553,6.60E-05,7.87E-05,0.000155319,6.60E-05,0.000589362,3.62E-05,0.001671277,0.000218085,0.002021277,9.89E-05,0.000215957,7.45E-05,7.55E-05,0.008467021,1.17E-05,2.77E-05,0.00017234,0.000215957,0.000176596,0.000376596,0.000340426,1.49E-05,0.011887234,0.000358511,0.000364894,1.38E-05
1--9,Group_A,0.000303896,4.16E-05,3.25E-05,0.000292208,0.00152987,0.000128571,0.000750649,0.002662338,0.000314286,1.04E-05,0.001167532,4.81E-05,0.000397403,0.000281818,0.000492208,0.000425974,0.000172727,1.30E-06,0.000107792,0.036375325,0.000366234,0.001231169,0.002006494,0.000507792,0.001703896,0.000215584,0.00034026,0.000583117,0.000172727,0.018942857,0.000457143,0.000164935,0.000306494,7.79E-05,8.83E-05,0.000162338,6.62E-05,0.000503896,4.29E-05,0.001823377,0.000105195,0.003377922,8.18E-05,0.000248052,7.40E-05,2.47E-05,0.009268831,2.34E-05,2.73E-05,0.000146753,0.000233766,0.000167532,0.000333766,0.000423377,1.56E-05,0.00948961,0.000380519,0.000319481,1.69E-05
1--10,Group_A,0.000255405,3.38E-05,2.57E-05,0.000221622,0.001633784,0.000391892,0.000591892,0.004401351,0.000381081,1.35E-05,0.000972973,1.89E-05,0.000381081,0.000132432,0.00042973,0.000283784,7.16E-05,1.35E-06,0.000167568,0.037351351,0.000601351,0.002293243,0.002736486,0.000259459,0.002413514,0.000402703,0.000251351,0.000416216,0.00022027,0.01905,0.000375676,0.000283784,0.000306757,7.84E-05,7.57E-05,0.000232432,7.30E-05,0.000493243,3.65E-05,0.001998649,0.000224324,0.003825676,9.59E-05,0.000297297,0.000116216,6.76E-05,0.010683784,1.35E-05,3.24E-05,0.000178378,0.000236486,0.00017973,0.000367568,0.000444595,1.08E-05,0.011182432,0.000335135,0.000439189,1.62E-05
1--11,Group_A,0.000287187,4.71E-05,4.71E-05,0.000393225,0.001188513,0.000156112,0.00044919,0.003298969,0.000231222,0.000108984,0.001067747,4.57E-05,0.000521355,0.000194404,0.000166421,0.000434462,0.00012813,0.000136966,9.43E-05,0.031269514,0.00067894,0.001297496,0.002724595,0.000357879,0.001237113,0.000369661,0.000241532,0.0005081,0.00020324,0.012447717,0.000372607,0.000234168,0.000618557,0.000410898,5.74E-05,0.000458027,0.000122239,0.000340206,0.000110457,0.001587629,0.000104566,0.001804124,9.87E-05,4.86E-05,7.07E-05,0.00060972,0.009159057,8.84E-06,4.86E-05,0.000129602,0.000157585,6.63E-05,0.000170839,0.000260677,2.95E-05,0.006013255,0.00033137,0.000353461,1.77E-05
1--12,Group_A,0.000226054,1.40E-05,5.11E-06,0.000283525,0.001030651,0.000108557,0.000167305,0.003077905,0.000229885,8.05E-05,0.001268199,1.92E-05,0.000376756,0.000324393,0.000111111,0.000302682,0.000108557,2.43E-05,6.13E-05,0.026916986,0.000578544,0.001215837,0.002422733,0.000255428,0.001265645,0.000375479,0.000154534,0.000284802,0.000189017,0.011404853,0.000335888,0.000247765,0.000417625,0.00011622,3.45E-05,0.000475096,0.000113665,0.000173691,0.000146871,0.001218391,4.60E-05,0.001933589,0.000114943,5.24E-05,5.62E-05,0.000623244,0.010639847,7.66E-06,3.32E-05,0.000112388,0.000186462,5.75E-05,0.000148148,0.000206897,7.66E-06,0.004547893,0.000190294,0.000342273,1.53E-05
